listing_id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,last_review,reviews_per_month,calculated_host_listings_count,availability_365
395349,Sunny 2 bedroomed top floor flat,1975862,Fiona,Corstorphine,55.94195928,-3.291388866,Entire home/apt,130,2,06/08/2018,0.26,1,240
399593,Edinburgh City Centre Town House  Flat,897409,Roman,New Town West,55.95676551,-3.207279405,Entire home/apt,200,3,03/01/2017,0.04,2,352
404888,"Quirky, arty apartment in Abbeyhill",1699475,Fiona,Abbeyhill,55.95507404,-3.16613137,Entire home/apt,100,3,26/08/2018,0.2,1,110
405790,Royal Mile near Castle - overlooks Writers Museum,1947266,John,"Old Town, Princes Street and Leith Street",55.95054385,-3.192614608,Entire home/apt,165,1,29/01/2018,1.1,1,230
408831,Sunny Room in house with beautiful views,2035652,Liz,Comiston and Swanston,55.90072036,-3.220441471,Private room,25,2,16/10/2018,0.99,2,0
410181,Edinburgh- Dbl room great location,2041775,Janie,Easter Road and Hawkhill Avenue,55.96421755,-3.174095249,Private room,35,4,17/10/2018,0.98,2,266
410413,"Central dble/en-suite,free parking",2042761,Tom,Hillside and Calton Hill,55.96049314,-3.172719752,Private room,30,2,07/11/2018,2.76,2,325
419487,Booklover's Bed With a View,2084557,Rachel,"Old Town, Princes Street and Leith Street",55.95147763,-3.195946508,Entire home/apt,82,4,08/11/2018,1.67,1,344
425815,Stunning views near Royal Mile,2114748,Susi,Abbeyhill,55.9533118,-3.168231706,Entire home/apt,69,2,01/11/2018,2.41,1,1
426766,Bright  Clean  Double Room  Ensuite,1961072,Javed,Prestonfield,55.92897299,-3.155201825,Private room,60,1,02/01/2018,0.89,2,363
426770,Bright & Clean Single Room /Central,1961072,Javed,Prestonfield,55.92924885,-3.1573399,Private room,45,1,01/01/2018,0.52,2,360
428822,Ensuite family room close to airport/city sleeps 4,2131536,Carmela,"Barnton, Cammo and Cramond South",55.96202014,-3.311900719,Private room,69,1,18/11/2018,5.93,1,165
439133,Bright term time room 100m to beach buses & shops,1956481,Angela,Joppa,55.95238071,-3.11026397,Private room,66,1,15/10/2018,0.46,2,174
439136,Bright term time room 100m to beach buses& shops,1956481,Angela,Portobello,55.95325944,-3.112299302,Private room,60,2,31/10/2018,0.37,2,176
447206,Comfy Room behind Holyrood Palace,2220775,Eva,Abbeyhill,55.95576639,-3.169250885,Private room,30,2,11/11/2018,7.22,4,0
448055,3 Bedrm Hse: Amazing Locn & Spec ,2225254,James,Tollcross,55.94900301,-3.20970981,Entire home/apt,275,5,,,1,0
449075,Cloudberry Apt. - Free Parking,2229734,Natalie,Newington and Dalkeith Road,55.93912343,-3.174922959,Entire home/apt,140,1,18/07/2016,0.04,1,48
449083,Single Bedroom in colony flat,565761,Noël,Meadowbank and Abbeyhill North,55.95725176,-3.166731821,Private room,50,1,06/11/2018,4.29,4,17
450745,Bright 2 br flat walking distance Royal Mile,2238338,Jen,"Canongate, Southside and Dumbiedykes",55.94400572,-3.178936401,Entire home/apt,90,3,28/10/2018,3.72,1,141
458510,Central Edinburgh 1 Bedroom Flat,2280137,Gill,Deans Village,55.95193972,-3.206343084,Entire home/apt,85,4,26/10/2018,2.02,13,338
465570,Attractive double room in City flat,2312709,Catriona,Willowbrae and Duddingston Village,55.9556896,-3.150561492,Private room,25,2,20/10/2017,0.86,1,263
477901,Greyfriars Bobby Apartment,2367948,Axel,"Old Town, Princes Street and Leith Street",55.94561506,-3.191119291,Entire home/apt,85,3,01/11/2018,2.93,1,209
480324,"Water of Leith View, Edinburgh",2378566,Heather,North Leith and Newhaven,55.97606904,-3.178840372,Entire home/apt,112,2,21/09/2018,0.67,2,304
485856,Royal Mile Apt1- Historic Old Town Centre,2404912,Carol,"Old Town, Princes Street and Leith Street",55.94979363,-3.183538305,Entire home/apt,99,2,13/11/2018,3.59,2,210
486686,The Pilton Hilt-on large sgl/twin,2408509,Anne,Granton West and Salvesen,55.97355586,-3.249011698,Private room,20,1,26/09/2018,3.05,5,286
493689,Pretty avenue house in N. Edinburgh,2438923,Kate,Boswall and Pilton,55.97307985,-3.220945351,Private room,65,3,29/08/2015,0.1,1,0
493769,"Royal Mile Apartment, 1 bedroom",1906698,Chris,"Old Town, Princes Street and Leith Street",55.94821824,-3.195005917,Entire home/apt,65,3,04/11/2018,4.07,4,80
497140,"Lovely Quiet Apartment in Gorgie, near City Centre",2452990,Barry,Gorgie East,55.93839186,-3.231139077,Entire home/apt,67,2,28/08/2018,0.67,1,13
500696,"Gorgeous castle-view apartment, city-centre",903026,Susan,Tollcross,55.94312079,-3.203401063,Entire home/apt,89,3,15/08/2018,2.2,1,84
502048,An evening by the fire in the city (with parking),2562495,Fraser & Flora,Deans Village,55.94696425,-3.220919714,Entire home/apt,102,3,06/11/2018,1.88,1,93
505153,Bright modern waterfront apartment,2490804,Bridie,Western Harbour and Leith Docks,55.98696639,-3.188267269,Private room,80,2,02/01/2018,0.24,1,358
506390,Pilton Hilt-on Double Bedroom,2408509,Anne,Granton West and Salvesen,55.97483217,-3.249777591,Private room,20,1,30/08/2018,2.22,5,237
506407,Twin room suitable for 1 or 2 pax,2408509,Anne,Granton West and Salvesen,55.9735588,-3.248464588,Private room,15,1,12/10/2018,3.8,5,256
510044,Beautiful Flat in the Old Town,2513026,Tamzin,"Old Town, Princes Street and Leith Street",55.94921923,-3.195573165,Entire home/apt,200,21,16/07/2012,0.03,1,0
513895,LUXURY  Edinburgh City Centre Garden Flat,2531629,Karyn,Deans Village,55.94983566,-3.211867706,Entire home/apt,125,2,07/10/2018,0.86,2,59
514978,Central Edinburgh Apartment NewTown,1784753,Pamela,Stockbridge,55.95921161,-3.203679589,Entire home/apt,150,3,28/08/2018,0.9,3,355
516445,The Park -  Holyrood Road,1801836,Shahid,"Canongate, Southside and Dumbiedykes",55.95188927,-3.177314269,Entire home/apt,150,2,17/11/2018,1.89,3,330
517230,Edinburgh room for 2-great location,2041775,Janie,Easter Road and Hawkhill Avenue,55.96501552,-3.174450915,Private room,35,2,16/09/2018,1.92,2,266
517409,city centre mountain view log fire,2546763,Edward,"Old Town, Princes Street and Leith Street",55.95127287,-3.183047292,Entire home/apt,200,5,16/08/2016,0.06,1,0
518464,Double bedroom & clean bathroom,2552087,Oscar And Claudia,Great Junction Street,55.96800314,-3.176825161,Private room,100,2,30/08/2016,0.46,2,364
520802,"Amazing Views&Apartment, CityCentre",2562187,Marta,Abbeyhill,55.95321587,-3.167786514,Entire home/apt,160,2,22/09/2016,0.51,1,78
521385,Beautiful Grassmarket Apartment,2564448,Fiona,"Old Town, Princes Street and Leith Street",55.94875929,-3.194756899,Entire home/apt,115,3,12/11/2018,2.5,2,331
522004,Db Room in the heart of Edinburgh*,2567250,Xanthe,Meadows and Southside,55.9415012,-3.178444935,Private room,65,2,24/09/2018,1.14,2,42
523134,❤ 4 Poster Family Apt ☆ petfriendly ☆ Free Parking,474757,Annette,Meadowbank and Abbeyhill North,55.95901888,-3.170357401,Entire home/apt,95,2,22/10/2018,2.16,10,311
523223,☆ Travel Inspired 1 bed apt ☆ free parking & WiFi,474757,Annette,Hillside and Calton Hill,55.95907257,-3.172334906,Entire home/apt,72,2,18/11/2018,1.8,10,353
523395,❤ Family apt ☆ Free WiFi & parking ☆ Pet-friendly,474757,Annette,Easter Road and Hawkhill Avenue,55.96082636,-3.171624077,Entire home/apt,59,2,21/10/2018,1.29,10,21
524956,LOVELY CITY GEORGIAN TOWN HOUSE,2580495,Jack,The Grange,55.93410616,-3.175665898,Entire home/apt,295,3,15/08/2018,0.26,1,232
530628,Elegant Stylish Central 5 Bed TownHouse +fast wifi,2605039,John,Deans Village,55.95072323,-3.216325979,Entire home/apt,56,1,08/11/2018,1.25,3,304
531292,EDINBURGH ROYAL MILE APARTMENT,2609833,Allan,"Old Town, Princes Street and Leith Street",55.95104545,-3.183954951,Entire home/apt,102,2,14/11/2018,4.2,2,185
531696,"City Centre Apartment, York Place",2613333,Anna,"Old Town, Princes Street and Leith Street",55.9558698,-3.191756145,Entire home/apt,150,2,14/10/2018,2.57,3,18
545821,Sunny room in Edinburgh+free parking+breakfast,2683229,Sue,Baberton and Juniper Green,55.91022645,-3.288362806,Private room,39,1,01/10/2018,3.23,1,69
551401,"Great room in good location, quiet yet central",2695821,Matt,Newington and Dalkeith Road,55.9419808,-3.178856036,Private room,33,1,01/11/2018,1.31,2,12
551652,Edinburgh by the sea - Portobello,2710898,Danielle,Portobello,55.95852385,-3.122480586,Entire home/apt,65,2,04/11/2018,1.03,2,32
551686,Edinburgh flat by sea - Portobello ,2710898,Danielle,Portobello,55.95850681,-3.123538127,Entire home/apt,59,2,27/10/2018,0.83,2,26
558907,"2 bedroomed flat, Holyrood Palace",2747930,Jacqui,"Canongate, Southside and Dumbiedykes",55.95318127,-3.174018648,Entire home/apt,121,3,29/05/2017,0.54,1,188
562350,Luxurious City Centre Apartment with Castle views,2765595,Morris,Deans Village,55.95313495,-3.20325349,Entire home/apt,175,3,10/07/2018,0.41,3,316
568026,Immaculate Edinburgh 2 bedroom flat,2794963,Derek,Polwarth,55.93953428,-3.223169506,Entire home/apt,55,2,06/11/2018,3.78,1,77
569604,Beautiful Apt with lift by Castle,2803600,Glenham,"Old Town, Princes Street and Leith Street",55.9494717,-3.192906854,Entire home/apt,182,3,05/11/2018,1.35,9,320
573745,Beautiful Two bed Apartment in Leith with parking,2823210,Jessica,Pilrig,55.96609007,-3.175661431,Entire home/apt,75,2,10/11/2018,1.59,1,239
579038,Beautiful Georgian Main Door Apartment,2765595,Morris,The Shore and Constitution Street,55.97229061,-3.167798114,Entire home/apt,175,3,18/09/2018,0.13,3,328
591024,Large Double Room near City Centre,2916432,Claire,Broughton South,55.96191982,-3.182027484,Private room,45,3,05/09/2018,0.5,2,0
591360,Funky 3br flat in trendy location!,2918371,Rachel,New Town East and Gayfield,55.95823233,-3.186321767,Entire home/apt,100,3,11/11/2018,2.99,1,250
592226,Cosy Edinburgh City Flat Rental,2893359,Isabelle,Abbeyhill,55.95372653,-3.167211166,Entire home/apt,45,2,09/06/2018,0.55,1,18
